date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,sentiment,clean_review,tokenized_text,normalized_text,normalized_review
########,Review title 1,"Not satisfied, many bugs and issues.",1,user1,80,6,Amazon,zh,Kenya,2.1.4,No,Negative,not satisfied many bugs and issues,"['not', 'satisfied', 'many', 'bugs', 'and', 'issues']","['satisfied', 'many', 'bug', 'issue']",satisfied many bug issue
########,Review title 2,Amazing quality and user-friendly interface.,5,user2,180,5,Flipkart,zh,France,1.2.3,No,Positive,amazing quality and userfriendly interface,"['amazing', 'quality', 'and', 'userfriendly', 'interface']","['amazing', 'quality', 'userfriendly', 'interface']",amazing quality userfriendly interface
########,Review title 3,"Terrible experience, needs major improvements.",2,user3,154,5,Flipkart,pt,USA,1.2.3,No,Negative,terrible experience needs major improvements,"['terrible', 'experience', 'needs', 'major', 'improvements']","['terrible', 'experience', 'need', 'major', 'improvement']",terrible experience need major improvement
########,Review title 4,Poor performance and not user-friendly.,1,user4,96,5,Amazon,es,Qatar,2.1.4,Yes,Negative,poor performance and not userfriendly,"['poor', 'performance', 'and', 'not', 'userfriendly']","['poor', 'performance', 'userfriendly']",poor performance userfriendly
5/5/2024,Review title 6,"Waste of time, does not meet expectations.",2,user6,156,7,App Store,en,Nepal,3.5.6,No,Negative,waste of time does not meet expectations,"['waste', 'of', 'time', 'does', 'not', 'meet', 'expectations']","['waste', 'time', 'meet', 'expectation']",waste time meet expectation
3/9/2024,Review title 7,"Highly satisfied, the app works exactly as expected.",4,user7,186,8,Google Play,fr,Qatar,2.1.4,No,Positive,highly satisfied the app works exactly as expected,"['highly', 'satisfied', 'the', 'app', 'works', 'exactly', 'as', 'expected']","['highly', 'satisfied', 'app', 'work', 'exactly', 'expected']",highly satisfied app work exactly expected
########,Review title 9,"Excellent app, very easy to use and extremely helpful.",4,user9,87,9,Amazon,en,Germany,5.0.3,No,Positive,excellent app very easy to use and extremely helpful,"['excellent', 'app', 'very', 'easy', 'to', 'use', 'and', 'extremely', 'helpful']","['excellent', 'app', 'easy', 'use', 'extremely', 'helpful']",excellent app easy use extremely helpful
########,Review title 10,"Great experience, smooth performance and useful features.",5,user10,27,7,Flipkart,en,Nepal,3.5.6,Yes,Positive,great experience smooth performance and useful features,"['great', 'experience', 'smooth', 'performance', 'and', 'useful', 'features']","['great', 'experience', 'smooth', 'performance', 'useful', 'feature']",great experience smooth performance useful feature
########,Review title 11,Works fine but there is room for improvement.,3,user11,190,8,Flipkart,en,France,1.2.3,No,Neutral,works fine but there is room for improvement,"['works', 'fine', 'but', 'there', 'is', 'room', 'for', 'improvement']","['work', 'fine', 'room', 'improvement']",work fine room improvement
########,Review title 12,"Not bad, but updates are needed for better performance.",3,user12,153,9,Google Play,hi,Poland,4.2.1,No,Neutral,not bad but updates are needed for better performance,"['not', 'bad', 'but', 'updates', 'are', 'needed', 'for', 'better', 'performance']","['bad', 'update', 'needed', 'better', 'performance']",bad update needed better performance
1/3/2025,Review title 20,"Decent app, neither too good nor too bad.",3,user20,55,8,App Store,pt,UK,3.5.6,Yes,Neutral,decent app neither too good nor too bad,"['decent', 'app', 'neither', 'too', 'good', 'nor', 'too', 'bad']","['decent', 'app', 'neither', 'good', 'bad']",decent app neither good bad
########,Review title 23,Very reliable and worth using regularly.,4,user23,20,6,Flipkart,ar,Kenya,4.2.1,Yes,Positive,very reliable and worth using regularly,"['very', 'reliable', 'and', 'worth', 'using', 'regularly']","['reliable', 'worth', 'using', 'regularly']",reliable worth using regularly
########,Review title 25,"Average experience, some features could be improved.",3,user25,75,7,Flipkart,fr,USA,4.2.1,Yes,Neutral,average experience some features could be improved,"['average', 'experience', 'some', 'features', 'could', 'be', 'improved']","['average', 'experience', 'feature', 'could', 'improved']",average experience feature could improved
########,Review title 26,The app is okay and does its job reasonably well.,3,user26,88,10,Website,en,UK,1.2.3,Yes,Neutral,the app is okay and does its job reasonably well,"['the', 'app', 'is', 'okay', 'and', 'does', 'its', 'job', 'reasonably', 'well']","['app', 'okay', 'job', 'reasonably', 'well']",app okay job reasonably well
########,Review title 32,"Very disappointing experience, the app crashes often.",2,user32,199,7,App Store,en,Germany,2.1.4,No,Negative,very disappointing experience the app crashes often,"['very', 'disappointing', 'experience', 'the', 'app', 'crashes', 'often']","['disappointing', 'experience', 'app', 'crash', 'often']",disappointing experience app crash often
